synset	lucid_label	tfrecord_label	name
n04557648	958	899	water_bottle
n03187595	959	529	dial_telephone
n04254120	960	805	soap_dispenser
n03595614	961	611	jersey
n04146614	962	780	school_bus
n03598930	963	612	jigsaw_puzzle
n03958227	964	729	plastic_bag
n04069434	965	760	reflex_camera
n03188531	966	530	diaper
n02786058	967	420	Band_Aid
n07615774	968	930	ice_lolly
n04525038	969	886	velvet
n04409515	970	853	tennis_ball
n03424325	971	571	gasmask
n03223299	972	540	doormat
n03680355	973	631	Loafer
n07614500	974	929	ice_cream
n07695742	975	933	pretzel
n04033995	976	751	quilt
n03710721	977	640	maillot
n04392985	978	849	tape_player
n03047690	979	503	clog
n03584254	980	606	iPod
n13054560	981	998	bolete
n10565667	982	984	scuba_diver
n03950228	983	726	pitcher
n03729826	984	645	matchstick
n02837789	985	446	bikini
n04254777	986	807	sock
n02988304	987	486	CD_player
n03657121	988	623	lens_cap
n04417672	989	854	thatch
n04523525	990	885	vault
n02815834	991	439	beaker
n09229709	992	972	bubble
n07697313	993	934	cheeseburger
n03888605	994	703	parallel_bars
n03355925	995	558	flagpole
n03063599	996	505	coffee_mug
n04116512	997	768	rubber_eraser
n04325704	998	825	stole
n07831146	999	960	carbonara
n03255030	1000	544	dumbbell
